date,close,volume,open,high,low
2018/03/23,1495.56,7977655,1539.01,1549.02,1495.36
2018/03/22,1544.92,6213379,1565.47,1573.85,1542.4
2018/03/21,1581.86,4740884,1586.45,1590,1563.17
2018/03/20,1586.51,4554675,1550.34,1587,1545.41
2018/03/19,1544.93,6406413,1554.53,1561.66,1525.35
2018/03/16,1571.68,5291848,1583.45,1589.44,1567.5
2018/03/15,1582.32,4057694,1595,1596.91,1578.11
2018/03/14,1591,4236655,1597,1606.444,1590.89
2018/03/13,1588.18,6514336,1615.96,1617.54,1578.01
2018/03/12,1598.39,5146149,1592.6,1605.33,1586.7
2018/03/09,1578.89,4508650,1563.5,1578.94,1559.08
2018/03/08,1551.86,3882904,1550,1554.88,1545.25
2018/03/07,1545,4164829,1526.52,1545.9,1522.51
2018/03/06,1537.64,4433105,1533.2,1542.13,1528
2018/03/05,1523.61,5192119,1494.24,1525.38,1481
2018/03/02,1500.25,6573973,1469.1,1501.05,1455.0101
2018/03/01,1493.45,6820462,1513.6,1518.49,1465
2018/02/28,1512.45,4498688,1519.51,1528.7,1512
2018/02/27,1511.98,4791167,1524.5,1526.78,1507.21
2018/02/26,1521.95,4944679,1509.2,1522.84,1507
2018/02/23,1500,4395443,1495.34,1500,1486.5
2018/02/22,1485.34,4806267,1495.36,1502.54,1475.76
2018/02/21,1482.92,6270085,1485,1503.49,1478.92
2018/02/20,1468.35,6473520,1446.49,1488.77,1446.49
2018/02/16,1448.69,4464048,1457.37,1465.8,1446.56
2018/02/15,1461.76,5634873,1466.89,1468.94,1436.8367
2018/02/14,1451.05,5940392,1406.25,1452.06,1403.36
2018/02/13,1414.51,5880823,1385.93,1419.72,1383.53
2018/02/12,1386.23,6718037,1364.67,1393.81,1344.01
2018/02/09,1339.6,14128670,1373.49,1383.5,1265.93
2018/02/08,1350.5,8496355,1429.675,1433.7522,1349.94
2018/02/07,1416.78,7126128,1449,1460.99,1415.15
2018/02/06,1442.84,10937550,1361.46,1443.99,1351.79
2018/02/05,1390,11422520,1402.62,1458.98,1320.72
2018/02/02,1429.95,11014340,1477.39,1498,1414
2018/02/01,1390,8985040,1445,1459.8799,1385.1419
2018/01/31,1450.89,6386185,1451.3,1472.58,1450.04
2018/01/30,1437.82,5802415,1403.17,1439.25,1392
2018/01/29,1417.68,5690168,1409.18,1431.39,1400.44
2018/01/26,1402.05,4825682,1392.01,1402.53,1380.91
2018/01/25,1377.95,4741473,1368,1378.34,1357.62
2018/01/24,1357.51,6781297,1374.82,1388.16,1338
2018/01/23,1362.54,5130673,1338.09,1364.9,1337.34
2018/01/22,1327.31,4126235,1297.17,1327.45,1296.6636
2018/01/19,1294.58,4455108,1312,1313,1292.99
2018/01/18,1293.32,4021640,1293.95,1304.6,1284.02
2018/01/17,1295,5240634,1312.24,1314,1280.88
2018/01/16,1304.86,7155026,1323,1339.94,1292.3
2018/01/12,1305.2,5434547,1273.3925,1305.76,1273.3925
2018/01/11,1276.68,3104031,1259.74,1276.77,1256.46
2018/01/10,1254.33,2679832,1245.15,1254.33,1237.23
2018/01/09,1252.7,3657243,1256.9,1259.33,1241.76
2018/01/08,1246.87,4270121,1236,1253.079,1232.03
2018/01/05,1229.14,3536299,1217.51,1229.14,1210
2018/01/04,1209.59,3015997,1205,1215.8699,1204.66
2018/01/03,1204.2,3094175,1188.3,1205.49,1188.3
2018/01/02,1189.01,2673958,1172,1190,1170.51
2017/12/29,1169.47,2678122,1182.35,1184,1167.5
2017/12/28,1186.1,1838549,1189,1190.1,1184.38
2017/12/27,1182.26,1866171,1179.91,1187.29,1175.61
2017/12/26,1176.76,1988906,1168.36,1178.32,1160.55
2017/12/22,1168.36,1575845,1172.08,1174.6199,1167.8301
2017/12/21,1174.76,2055103,1175.9,1179.17,1167.64
2017/12/20,1177.62,2364984,1190.5,1191,1176
2017/12/19,1187.38,2574578,1189.15,1192.97,1179.1401
2017/12/18,1190.58,2943252,1187.37,1194.78,1180.91
2017/12/15,1179.14,4775009,1179.03,1182.75,1169.33
2017/12/14,1174.26,3120265,1163.71,1177.93,1162.45
2017/12/13,1164.13,2588740,1170,1170.87,1160.27
2017/12/12,1165.08,2208812,1166.51,1173.6,1161.61
2017/12/11,1168.92,2360068,1164.6,1169.9,1157
2017/12/08,1162,2979278,1170.4,1172.79,1157.1
2017/12/07,1159.79,2508813,1156.59,1163.19,1151
2017/12/06,1152.35,2777524,1137.99,1155.89,1136.08
2017/12/05,1141.57,4074846,1128.26,1159.27,1124.74
2017/12/04,1133.95,5926970,1173.85,1175.2,1128
2017/12/01,1162.35,4101175,1172.05,1179.65,1152
2017/11/30,1176.75,4472454,1167.1,1178.5701,1160
2017/11/29,1161.27,9242181,1194.8,1194.8,1145.19
2017/11/28,1193.6,4548064,1204.88,1205.34,1188.521
2017/11/27,1195.83,6718385,1202.66,1213.41,1191.15
2017/11/24,1186,3528011,1160.7,1186.84,1160.7
2017/11/22,1156.16,3549453,1141,1160.27,1141
2017/11/21,1139.49,2461416,1132.86,1140,1128.2
2017/11/20,1126.31,2146183,1129.77,1133.42,1122.55
2017/11/17,1129.88,2360174,1138.28,1138.8,1125.8101
2017/11/16,1137.29,2210454,1130.16,1138.16,1130.05
2017/11/15,1126.69,3917182,1127.01,1131.75,1121.63
2017/11/14,1136.84,3136307,1130.11,1138,1123.89
2017/11/13,1129.17,2913376,1123,1139.9,1122.34
2017/11/10,1125.35,2178670,1126.1,1131.75,1124.06
2017/11/09,1129.13,3729458,1125.96,1129.6209,1115.77
2017/11/08,1132.88,2575956,1122.82,1135.54,1119.11
2017/11/07,1123.17,2684125,1124.74,1130.6,1117.5
2017/11/06,1120.66,3331032,1109.15,1125.41,1108.77
2017/11/03,1111.6,3739141,1091.15,1112.68,1088.52
2017/11/02,1094.22,3683447,1097.81,1101.935,1086.8691
2017/11/01,1103.68,3743189,1105.4,1108.97,1096.74
2017/10/31,1105.28,3474886,1109,1110.54,1101.1201
2017/10/30,1110.85,6608244,1095.01,1122.79,1093.56
2017/10/27,1100.95,16547950,1058.14,1105.58,1050.55
2017/10/26,972.43,5392856,980.33,982.9,968.55
2017/10/25,972.91,3029395,978,984.44,966.24
2017/10/24,975.9,2713262,969,979.85,965
2017/10/23,966.3,3482123,986.73,986.775,962.5
2017/10/20,982.91,2343556,993.53,994.62,982
2017/10/19,986.61,3084459,990,991.05,980.24
2017/10/18,997,2496848,1009.27,1022.31,996.55
2017/10/17,1009.13,2318762,1005.59,1011.4699,1004.38
2017/10/16,1006.34,2004816,1008.44,1009.5717,1001.04
2017/10/13,1002.94,2429175,1007,1007.77,1001.03
2017/10/12,1000.93,4083076,996.81,1008.44,992.4
2017/10/11,995,2335062,991.27,995.5,986.695
2017/10/10,987.2,3082929,996.67,997.95,980.099
2017/10/09,990.99,2936073,993.24,998.5,987.5
2017/10/06,989.58,3747408,975.64,995.75,975.64
2017/10/05,980.85,3220080,970,981.51,969.64
2017/10/04,965.45,2518509,954.21,967.79,954.05
2017/10/03,957.1,2664290,958,963.69,950.37
2017/10/02,959.19,2425585,964,967.305,952.1201
2017/09/29,961.35,2509194,960.11,964.83,958.375
2017/09/28,956.4,2521285,951.86,959.7,950.101
2017/09/27,950.87,3145310,948,955.3,943.3
2017/09/26,938.6,3504345,945.49,948.63,931.75
2017/09/25,939.79,5115097,949.31,949.42,932.89
2017/09/22,955.1,2629433,961.01,965.61,954.42
2017/09/21,964.65,2276374,971.31,971.7,962.02
2017/09/20,973.21,2752256,971.79,974.81,962.1626
2017/09/19,969.86,2629721,977.25,978.24,967.46
2017/09/18,974.19,3400701,990.4,992.7922,968.17
2017/09/15,986.79,3749512,993.01,996.25,984.03
2017/09/14,992.21,3899558,996.8,998.56,987.74
2017/09/13,999.6,3360247,983.97,1000,979.42
2017/09/12,982.58,2475557,983.27,984.6718,975.517
2017/09/11,977.96,2171998,974.46,981.94,974.22
2017/09/08,965.9,2589038,979.1,979.88,963.47
2017/09/07,979.47,2562517,974,980.59,972.55
2017/09/06,967.8,2125371,968.32,971.84,960.6
2017/09/05,965.27,2996501,975.4,976.7699,960.37
2017/09/01,978.25,2533779,984.2,984.5,976.875
2017/08/31,980.6,3314687,974.7,981,972.76
2017/08/30,967.59,2897969,958.44,969.41,956.9062
2017/08/29,954.06,2871568,940,956,936.33
2017/08/28,946.02,2576456,946.54,953,942.25
2017/08/25,945.26,3316602,956,957.621,944.1
2017/08/24,952.45,5186993,957.42,959,941.14
2017/08/23,958,2642936,959.38,962,954.2
2017/08/22,966.9,2745796,955.52,967.93,955.495
2017/08/21,953.29,3156891,957.57,961.2,945.46
2017/08/18,958.47,3275276,961.4,965.43,954.65
2017/08/17,960.57,3456073,977.84,977.84,960.32
2017/08/16,978.18,3125408,981.65,986.4605,973.22
2017/08/15,982.74,2544452,988.9,991.74,982
2017/08/14,983.3,3168461,978.41,985.5,976.19
2017/08/11,967.99,3464615,960,970.39,951.38
2017/08/10,956.92,5600182,976.295,979.86,954.68
2017/08/09,982.01,3568120,982.6,988,975.27
2017/08/08,989.84,2886062,994.35,996.28,985.79
2017/08/07,992.27,2670187,990.65,995,987.14
2017/08/04,987.58,2726739,989.68,991.672,982
2017/08/03,986.92,3252699,999.47,999.5,984.59
2017/08/02,995.89,4061270,1001.77,1003.21,981.73
2017/08/01,996.19,4527979,996.11,1006.4,991.58
2017/07/31,987.78,7326177,1019.05,1019.05,987.02
2017/07/28,1020.04,7674669,1012.14,1032.85,1001
2017/07/27,1046,10830380,1069.55,1083.31,1040.18
2017/07/26,1052.8,2881423,1043.2,1053.2,1043.2
2017/07/25,1039.87,2444862,1038.05,1043.3346,1032.48
2017/07/24,1038.95,3277624,1028.34,1043.01,1027.4279
2017/07/21,1025.67,2726844,1021.28,1026.1,1011
2017/07/20,1028.7,3074300,1031.59,1034.97,1022.515
2017/07/19,1026.87,2955263,1025,1031.59,1022.5
2017/07/18,1024.45,4002293,1006,1026.03,1004
2017/07/17,1010.04,3685206,1004.69,1014.75,1003.81
2017/07/14,1001.81,2100941,1002.4,1004.45,996.89
2017/07/13,1000.63,2877854,1004.62,1006.88,995.9
2017/07/12,1006.51,3605227,1000.65,1008.55,998.1
2017/07/11,994.13,2978422,993,995.99,983.72
2017/07/10,996.47,3515968,985,999.4392,983.5
2017/07/07,978.76,2589778,969.55,980.11,969.14
2017/07/06,965.14,3257432,964.66,974.4,959.02
2017/07/05,971.4,3648765,961.53,975,955.25
2017/07/03,953.66,2909108,972.79,974.49,951.0001
2017/06/30,968,3383436,980.12,983.47,967.61
2017/06/29,975.93,4295828,979,987.56,965.25
2017/06/28,990.33,3721937,978.55,990.68,969.21
2017/06/27,976.78,3759865,990.69,998.8,976
2017/06/26,993.98,3382126,1008.5,1009.8,992
2017/06/23,1003.74,2876508,1002.54,1004.62,998.02
2017/06/22,1001.3,2249784,1002.23,1006.9599,997.2
2017/06/21,1002.23,2916743,998.7,1002.72,992.6518
2017/06/20,992.59,4069195,998,1004.88,992.02
2017/06/19,995.17,5019791,1017,1017,989.9
