date,close,open,high,low,daily_pct_change,SMA20,SMA50,SMA100,SMA200,trend,signal,position,balance_roll
2009-11-25,134.03,133.31,134.2,132.4,0.82,127.27435000000006,108.97553799999993,96.43546900000003,86.01710949999998,bullish,0.0,0.0,49226.8
2009-11-27,131.74,130.3,133.0,129.88,-1.71,127.73250000000003,109.80153799999992,96.97926900000002,86.35600949999998,bullish,0.0,0.0,49226.8
2009-11-30,135.91,132.19,136.08,132.16,3.17,128.58750000000003,110.71413799999993,97.55736900000002,86.71925949999999,bullish,0.0,0.0,49226.8
2009-12-01,138.5,136.94,139.35,135.75,1.91,129.5705,111.67293799999992,98.16606900000002,87.1034095,bullish,0.0,0.0,49226.8
2009-12-02,142.25,139.15,142.67,138.96,2.71,130.76450000000003,112.64293799999992,98.77386900000003,87.5029095,bullish,0.0,0.0,49226.8
2009-12-03,141.17,143.62,145.91,140.77,-0.76,131.96800000000002,113.61873799999992,99.36606900000002,87.89900949999999,bullish,0.0,0.0,49226.8
2009-12-04,137.58,143.42,143.45,135.11,-2.54,132.81650000000002,114.52813799999993,99.89636900000004,88.26760949999999,bullish,0.0,0.0,49226.8
2009-12-07,134.21,138.0,139.0,133.84,-2.45,133.21700000000004,115.40193799999992,100.37736900000002,88.6301095,bullish,0.0,0.0,49226.8
2009-12-08,134.11,134.3,136.08,132.87,-0.07,133.58900000000003,116.23993799999991,100.85996900000002,88.9726595,bullish,0.0,0.0,49226.8
2009-12-09,131.31,134.6,134.71,129.82,-2.09,133.64700000000002,117.03173799999992,101.29076900000001,89.31065950000001,bullish,0.0,0.0,49226.8
2009-12-10,135.38,132.41,136.19,132.4,3.1,133.92050000000003,117.87213799999992,101.75446900000001,89.67585950000003,bullish,0.0,0.0,49226.8
2009-12-11,134.15,136.07,136.29,133.2,-0.91,134.10150000000004,118.73433799999992,102.208069,90.02265950000003,bullish,0.0,0.0,49226.8
2009-12-14,131.38,132.5,132.61,129.35,-2.06,134.02200000000005,119.56493799999991,102.58316899999998,90.36960950000002,bullish,0.0,0.0,49226.8
2009-12-15,130.23,130.76,132.46,129.5912,-0.88,133.95400000000004,120.3961379999999,103.02056899999998,90.71225950000002,bullish,0.0,0.0,49226.8
2009-12-16,128.36,130.93,131.45,127.65,-1.44,133.80950000000004,121.1451379999999,103.46176899999999,91.03000950000002,bullish,0.0,0.0,49226.8
2009-12-17,126.91,129.36,130.08,126.9,-1.13,133.59050000000005,121.80393799999989,103.88106899999998,91.34070950000002,bullish,0.0,0.0,49226.8
2009-12-18,128.48,127.91,128.79,125.6474,1.24,133.56500000000005,122.46913799999987,104.32246899999998,91.67465950000002,bullish,0.0,0.0,49226.8
2009-12-21,132.79,130.48,133.2,130.19,3.35,133.72150000000005,123.21073799999988,104.789469,92.03615950000001,bullish,0.0,0.0,49226.8
2009-12-22,133.75,133.76,135.99,132.65,0.72,133.75900000000007,124.01373799999986,105.26936899999998,92.37635950000002,bullish,0.0,0.0,49226.8
2009-12-23,138.94,134.8,139.05,134.35,3.88,134.05900000000005,124.89593799999986,105.78436899999998,92.72835950000001,bullish,0.0,0.0,49226.8
2009-12-24,138.47,139.2,139.7,137.54,-0.34,134.28100000000003,125.71613799999986,106.31106899999999,93.0728095,bullish,0.0,0.0,49226.8
2009-12-28,139.31,139.75,141.98,138.53,0.61,134.65950000000004,126.58213799999987,106.86126899999998,93.4262095,bullish,0.0,0.0,49226.8
2009-12-29,139.41,141.29,142.58,138.55,0.07,134.83450000000002,127.46393799999987,107.41066899999998,93.78835950000001,bullish,0.0,0.0,49226.8
2009-12-30,136.49,138.4,138.4,135.28,-2.09,134.734,128.30013799999986,107.92236899999997,94.11405950000002,bullish,0.0,0.0,49226.8
2009-12-31,134.52,137.09,137.28,134.52,-1.44,134.34750000000003,129.09093799999988,108.42316899999997,94.43040950000002,bullish,0.0,0.0,49226.8
2010-01-04,133.9,136.25,136.61,133.14,-0.46,133.984,129.90053799999987,108.92656899999999,94.74940950000004,bullish,0.0,0.0,49226.8
2010-01-05,134.69,133.43,135.47899999999998,131.81,0.59,133.83950000000002,130.72533799999985,109.41386899999999,95.07305950000004,bullish,0.0,0.0,49226.8
2010-01-06,132.25,134.6,134.73,131.65,-1.81,133.74150000000003,131.00053799999986,109.89036899999999,95.35640950000003,bullish,0.0,0.0,49226.8
2010-01-07,130.0,132.01,132.32,128.8,-1.7,133.536,131.10773999999986,110.354569,95.64235950000003,bullish,0.0,0.0,49226.8
2010-01-08,133.52,130.56,133.68,129.03,2.71,133.6465,131.33673999999988,110.879169,95.94795950000001,bullish,0.0,0.0,49226.8
2010-01-11,130.308,132.62,132.8,129.21,-2.41,133.3929,131.51009999999988,111.36104900000001,96.23104950000003,bullish,0.0,0.0,49226.8
2010-01-12,127.35,128.99,129.82,126.55,-2.27,133.0529,131.60555999999988,111.80454900000001,96.51519950000002,bullish,0.0,0.0,49226.8
2010-01-13,129.11,127.902,129.71,125.75,1.38,132.9394,131.81155999999987,112.254749,96.80354950000003,bullish,0.0,0.0,49226.8
2010-01-14,127.35,129.14,130.38,126.4,-1.36,132.7954,131.98175999999987,112.67824900000001,97.07309950000003,bullish,0.0,0.0,49226.8
2010-01-15,127.14,129.18,129.65,127.06,-0.16,132.7344,132.15715999999986,113.10464900000001,97.34129950000002,bullish,0.0,0.0,49226.8
2010-01-19,127.61,126.2,128.0,124.33,0.37,132.7694,132.36735999999985,113.53884900000001,97.59764950000003,bullish,0.0,0.0,49226.8
2010-01-20,125.78,127.13,129.2,125.08,-1.43,132.6344,132.47075999999987,113.95664900000001,97.83569950000003,bullish,0.0,0.0,49226.8
2010-01-21,126.62,127.26,128.15,125.0,0.67,132.3259,132.47915999999987,114.37974900000003,98.07884950000002,bearish,-1.0,0.0,49226.8
2010-01-22,121.43,125.6,127.67,120.76,-4.1,131.7099,132.37435999999988,114.76644900000002,98.30844950000002,bearish,0.0,-1256.0,50482.8
2010-01-25,120.31,122.1,122.28,118.12,-0.92,130.77839999999998,132.1775599999999,115.15764900000002,98.52509950000004,bearish,0.0,0.0,50482.8
